Con1	S1_1	S2_4	Con2	S2_2	S2_3	S5_1	E4_1	E4_3	S4_4	E5_2	N3_3	E4_2	E3_1	N3_2	S4_1	E3_4	E7_4	E5_3	E7_3	N6_4	N6_3	N3_1	S6_3	S5_3	E5_1	Con4	E3_2	E7_2	S6_4	S7_4	S4_3	S7_1	S1_2	S6_1	S1_4	S7_3	S5_4	N6_2
name1	0	0	6.51720542231491e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
name2	0.330617831074035	0.0837460896767466	0.144290928050052	0.350495307612096	0.343554483837331	0.288418925964546	0.0753388946819604	0.060740354535975	0.289624608967675	0.0297836287799791	0.124804483837331	0.163158237747654	0.0145007820646507	0.123533628779979	0.0914038060479666	0.0706790928050052	0.131452033368092	0.0286105318039625	0.107273201251303	0.10326511991658	0.159280500521376	0.0198774765380605	0.212819343065693	0.0682351407716371	0.109000260688217	0.0597627737226277	0.447471324296142	0.167883211678832	0.16224582898853	0.112552137643379	0.154555526590198	0.0094825338894682	0.228232533889468	0.171956465067779	0.204249217935349	0.302952294056309	0.224713242961418	0.326023201251303	0.0398852971845673
name3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000130344108446298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
name4	0	3.25860271115746e-05	0.00146637122002086	0.000456204379562044	9.77580813347237e-05	0	0.000130344108446298	6.51720542231491e-05	6.51720542231491e-05	3.25860271115746e-05	0.000162930135557873	0.00873305526590198	0	3.25860271115746e-05	0.00837460896767466	9.77580813347237e-05	9.77580813347237e-05	3.25860271115746e-05	9.77580813347237e-05	3.25860271115746e-05	0.000456204379562044	3.25860271115746e-05	0.008961157455683	0	0.0218652241918665	0.000260688216892596	0.000391032325338895	0.000228102189781022	6.51720542231491e-05	0.000162930135557873	0.000130344108446298	0	0.00149895724713243	3.25860271115746e-05	0	0.000293274244004171	3.25860271115746e-05	6.51720542231491e-05	0
name5	0.000325860271115746	0.000293274244004171	0.000488790406673618	0.00267205422314911	0.000423618352450469	0.000162930135557873	0.000423618352450469	0.000586548488008342	3.25860271115746e-05	0	0.000423618352450469	0.000195516162669447	3.25860271115746e-05	3.25860271115746e-05	0.000521376433785193	0.000391032325338895	0.000195516162669447	0	0.000488790406673618	9.77580813347237e-05	6.51720542231491e-05	3.25860271115746e-05	0.000521376433785193	6.51720542231491e-05	0.000814650677789364	0.000456204379562044	0.00101016684045881	9.77580813347237e-05	9.77580813347237e-05	0.000260688216892596	0.000586548488008342	0	0.000325860271115746	0.000130344108446298	0.000130344108446298	0.000456204379562044	0.000228102189781022	0.000260688216892596	0.000162930135557873
name6	0.000456204379562044	0.0137513034410845	0.0217022940563087	0.000944994786235662	0.00149895724713243	0.000488790406673618	0.000456204379562044	0.00175964546402503	0.000782064650677789	9.77580813347237e-05	0.00290015641293014	0.0124478623566215	0.00149895724713243	9.77580813347237e-05	6.51720542231491e-05	0.000553962460896767	0.000228102189781022	0.000325860271115746	0.0034541188738269	0.000684306569343066	0.0088308133472367	0.321852189781022	0.00857012513034411	0.0039754953076121	0.000130344108446298	0.00804874869655892	0.000944994786235662	0.000162930135557873	0.000521376433785193	0.0052463503649635	0	0.00127085505735141	6.51720542231491e-05	0.00697340980187696	0.00593065693430657	0.0499217935349322	0	3.25860271115746e-05	0.171989051094891
name7	9.77580813347237e-05	0.000521376433785193	0.000260688216892596	0.000228102189781022	3.25860271115746e-05	3.25860271115746e-05	3.25860271115746e-05	6.51720542231491e-05	3.25860271115746e-05	0	3.25860271115746e-05	0.000228102189781022	6.51720542231491e-05	0	0.000228102189781022	6.51720542231491e-05	9.77580813347237e-05	0	0.000488790406673618	0	0	3.25860271115746e-05	0.000293274244004171	0	0	6.51720542231491e-05	0.000162930135557873	9.77580813347237e-05	0	6.51720542231491e-05	0	0	0	3.25860271115746e-05	9.77580813347237e-05	0.00071689259645464	0	0	0
name8	0.000130344108446298	0.000130344108446298	0.00211809176225235	0.000293274244004171	6.51720542231491e-05	6.51720542231491e-05	0	0.000195516162669447	3.25860271115746e-05	3.25860271115746e-05	0.000260688216892596	0.0017922314911366	0.000130344108446298	0	0.00250912408759124	0.000423618352450469	0	0.00035844629822732	0.000391032325338895	3.25860271115746e-05	0.00143378519290928	0	0.0037148070907195	0.000195516162669447	0.000325860271115746	6.51720542231491e-05	9.77580813347237e-05	3.25860271115746e-05	3.25860271115746e-05	0.000293274244004171	9.77580813347237e-05	3.25860271115746e-05	0.000195516162669447	0	0.000228102189781022	0.00117309697601668	3.25860271115746e-05	3.25860271115746e-05	6.51720542231491e-05
name9	0	0	0.00120568300312826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.51720542231491e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	9.77580813347237e-05	0	0	0
name10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.25860271115746e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
